"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","358","test_login_invalid_credentials[credentials2]","tests.ui","Fri Feb 27 14:40:57 UTC 2026","passed","Fri Feb 27 14:40:57 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","469","test_login_logout[credentials0]","tests.ui","Fri Feb 27 14:41:02 UTC 2026","passed","Fri Feb 27 14:41:02 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","382","test_login_flow_admin","tests.ui","Fri Feb 27 14:41:00 UTC 2026","passed","Fri Feb 27 14:41:01 UTC 2026","","test_login_flow","",""
"Validate pagination controls keep the user on product listing page","142","test_pagination_controls_are_accessible[2]","tests.ui","Fri Feb 27 14:41:10 UTC 2026","passed","Fri Feb 27 14:41:10 UTC 2026","","test_product_listing_pagination","",""
"Locate a specific product in the listing and verify it exists","394","test_product_listing_contains_known_product","tests.ui","Fri Feb 27 14:41:08 UTC 2026","passed","Fri Feb 27 14:41:08 UTC 2026","","test_product_listing_pagination","",""
"Validate pagination controls keep the user on product listing page","111","test_pagination_controls_are_accessible[1]","tests.ui","Fri Feb 27 14:41:09 UTC 2026","passed","Fri Feb 27 14:41:09 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","477","test_login_logout[credentials1]","tests.ui","Fri Feb 27 14:41:03 UTC 2026","passed","Fri Feb 27 14:41:03 UTC 2026","","test_login_flow","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","191","test_login_without_credentials","tests.ui","Fri Feb 27 14:40:53 UTC 2026","passed","Fri Feb 27 14:40:53 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","370","test_login_invalid_credentials[credentials3]","tests.ui","Fri Feb 27 14:40:58 UTC 2026","passed","Fri Feb 27 14:40:58 UTC 2026","","test_login_flow","",""
"Verify total number of products in each category matches expected values","2979","test_product_listing_page_loads","tests.ui","Fri Feb 27 14:41:04 UTC 2026","passed","Fri Feb 27 14:41:07 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","399","test_login_invalid_credentials[credentials0]","tests.ui","Fri Feb 27 14:40:54 UTC 2026","passed","Fri Feb 27 14:40:55 UTC 2026","","test_login_flow","",""
"","220","test_get_echoes_args","tests.api","Fri Feb 27 14:40:45 UTC 2026","passed","Fri Feb 27 14:40:45 UTC 2026","","test_httpbin_get","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","358","test_login_invalid_credentials[credentials1]","tests.ui","Fri Feb 27 14:40:55 UTC 2026","passed","Fri Feb 27 14:40:56 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","392","test_login_user_credentials","tests.ui","Fri Feb 27 14:40:59 UTC 2026","passed","Fri Feb 27 14:41:00 UTC 2026","","test_login_flow","",""
